year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,carrier_delay,weather_delay,scheduled_departure_time,actual_departure_time,scheduled_arrival_time,actual_arrival_time,flight_status
2020,12,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",44.0,3.0,1.63,0.0,0.12,56.0,0.0,11:29,11:49,13:28,13:48,on-time
2020,12,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",90.0,1.0,0.96,0.0,0.04,22.0,0.0,18:54,19:09,20:30,20:48,delayed
2020,12,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",88.0,8.0,5.75,0.0,1.6,265.0,0.0,16:50,17:09,18:19,18:39,on-time
2020,12,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",184.0,9.0,4.17,0.0,1.83,192.0,0.0,18:10,18:30,20:10,20:27,on-time
2020,12,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",5985.0,445.0,142.89,11.96,161.37,16390.0,1509.0,06:57,07:16,09:02,09:18,on-time
2020,12,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",142.0,14.0,5.36,0.0,7.7,162.0,0.0,04:23,04:38,05:54,06:13,on-time
2020,12,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",147.0,10.0,6.04,1.0,1.0,838.0,141.0,09:22,09:39,10:39,10:58,on-time
2020,12,9E,Endeavor Air Inc.,AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International",84.0,14.0,6.24,0.96,6.8,1164.0,619.0,07:34,07:50,09:06,09:24,on-time
2020,12,9E,Endeavor Air Inc.,BDL,"Hartford, CT: Bradley International",150.0,19.0,5.7,0.0,12.07,423.0,0.0,17:04,17:21,18:59,19:16,on-time
2020,12,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",123.0,9.0,6.82,0.0,1.18,527.0,0.0,17:57,18:13,20:08,20:28,on-time
2020,12,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",25.0,7.0,0.34,0.0,3.54,13.0,0.0,16:09,16:27,17:40,17:59,on-time
2020,12,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",59.0,5.0,3.15,0.0,1.48,155.0,0.0,16:11,16:27,18:10,18:30,on-time
2020,12,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",2.0,1.0,0.0,0.0,1.0,0.0,0.0,00:48,01:04,02:30,02:48,delayed
2020,12,9E,Endeavor Air Inc.,BOS,"Boston, MA: Logan International",21.0,3.0,1.0,0.71,1.29,17.0,81.0,15:45,16:04,17:59,18:17,on-time
2020,12,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",90.0,6.0,3.8,0.0,1.63,249.0,0.0,11:26,11:42,12:58,13:16,on-time
2020,12,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",115.0,5.0,4.82,0.0,0.18,236.0,0.0,02:14,02:33,03:37,03:52,on-time
2020,12,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",90.0,10.0,3.06,0.85,5.4,220.0,258.0,09:18,09:38,11:06,11:25,on-time
2020,12,9E,Endeavor Air Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",14.0,1.0,1.0,0.0,0.0,18.0,0.0,10:49,11:09,12:57,13:15,delayed
2020,12,9E,Endeavor Air Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",96.0,17.0,8.5,0.0,5.11,558.0,0.0,12:59,13:18,14:47,15:03,on-time
2020,12,9E,Endeavor Air Inc.,CAE,"Columbia, SC: Columbia Metropolitan",106.0,5.0,3.7,0.0,1.3,205.0,0.0,18:58,19:15,20:36,20:54,on-time
2020,12,9E,Endeavor Air Inc.,CHA,"Chattanooga, TN: Lovell Field",213.0,12.0,6.42,2.96,0.92,279.0,202.0,18:24,18:42,20:20,20:40,on-time
2020,12,9E,Endeavor Air Inc.,CHO,"Charlottesville, VA: Charlottesville Albemarle",86.0,1.0,0.59,0.0,0.0,10.0,0.0,11:11,11:26,12:49,13:08,delayed
2020,12,9E,Endeavor Air Inc.,CHS,"Charleston, SC: Charleston AFB/International",61.0,6.0,3.03,0.0,2.65,121.0,0.0,00:56,01:14,02:19,02:38,on-time
2020,12,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",11.0,0.0,0.0,0.0,0.0,0.0,0.0,13:22,13:39,14:48,15:07,on-time
2020,12,9E,Endeavor Air Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",74.0,12.0,2.57,0.96,7.47,118.0,121.0,19:32,19:51,21:27,21:46,on-time
2020,12,9E,Endeavor Air Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",42.0,1.0,1.0,0.0,0.0,64.0,0.0,10:09,10:29,12:04,12:20,delayed
2020,12,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",84.0,8.0,2.44,0.0,4.3,127.0,0.0,06:20,06:38,08:33,08:53,on-time
2020,12,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: Yeager",113.0,8.0,6.0,1.0,0.16,305.0,22.0,02:13,02:28,04:07,04:27,on-time
2020,12,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",99.0,6.0,2.45,0.97,2.58,74.0,33.0,15:48,16:03,17:37,17:55,on-time
